time,year,lat,long,commodity,volume,state,release type,water,cost,cause
2010-04-15 20:25:00,2010,29.997629999999997,-94.07668000000001,CRUDE OIL,630,TX,LEAK,NO,25532.074947952737,CORROSION FAILURE
2010-04-17 19:00:00,2010,47.31006,-93.73207,CRUDE OIL,210,MN,LEAK,YES,1215414.809160306,MATERIAL FAILURE OF PIPE OR WELD
2010-01-12 14:30:00,2010,40.16833,-90.56593000000001,CRUDE OIL,0,IL,OVERFILL OR OVERFLOW,NO,40876.47467036788,INCORRECT OPERATION
2010-04-23 16:32:00,2010,38.98742,-97.4042,FLAMMABLE GASES,70098,KS,RUPTURE,YES,723713.5819569743,EXCAVATION DAMAGE
2010-01-28 11:00:00,2010,46.851256,-102.770368,CRUDE OIL,840,ND,MECHANICAL PUNCTURE,NO,14048.929909784873,OTHER OUTSIDE FORCE DAMAGE
2010-04-20 14:56:00,2010,44.000221,-93.782668,REFINED LIQUIDS,1050,MN,LEAK,NO,179447.72380291484,EQUIPMENT FAILURE
2010-05-10 08:00:00,2010,48.39475,-102.9138,CRUDE OIL,1680,ND,OTHER,NO,6414.462179042326,EQUIPMENT FAILURE
2010-01-19 20:00:00,2010,38.82204,-90.07892,REFINED LIQUIDS,126,IL,LEAK,NO,58088.6148507981,EQUIPMENT FAILURE
2010-04-26 12:00:00,2010,33.85651,-84.62941,REFINED LIQUIDS,126,GA,LEAK,NO,36323.46426092992,CORROSION FAILURE
2010-04-28 12:00:00,2010,29.7268,-95.141,REFINED LIQUIDS,0,TX,LEAK,NO,5754.149895905618,CORROSION FAILURE
2010-05-17 07:00:00,2010,29.3475,-94.94167,CRUDE OIL,2940,TX,OTHER,NO,1760.832755031229,EQUIPMENT FAILURE
2010-01-21 09:30:00,2010,35.27901,-119.31192,CRUDE OIL,84,CA,LEAK,NO,9819.158084663432,EQUIPMENT FAILURE
2010-05-10 18:00:00,2010,32.611,-103.0763,CRUDE OIL,84,NM,LEAK,NO,64270.395558639866,CORROSION FAILURE
2010-05-20 17:30:00,2010,40.70942,-81.36428000000001,REFINED LIQUIDS,420,OH,LEAK,YES,1324469.4703678002,MATERIAL FAILURE OF PIPE OR WELD
2010-04-26 10:35:00,2010,38.47623,-97.72254000000001,FLAMMABLE GASES,84,KS,LEAK,NO,147976.61151977803,EQUIPMENT FAILURE
2010-04-29 09:55:00,2010,37.81654,-97.02048,FLAMMABLE GASES,32340,KS,MECHANICAL PUNCTURE,NO,117758.20596807783,EXCAVATION DAMAGE
2010-04-26 10:18:00,2010,42.51862,-114.27033999999999,REFINED LIQUIDS,924,ID,LEAK,NO,116788.49021512843,CORROSION FAILURE
2010-03-27 22:30:00,2010,27.86028,-82.59958,REFINED LIQUIDS,12012,FL,LEAK,NO,549631.3671061763,INCORRECT OPERATION
2010-04-28 12:55:00,2010,42.455890000000004,-95.32798000000001,FLAMMABLE GASES,0,IA,LEAK,NO,40285.33795975026,MATERIAL FAILURE OF PIPE OR WELD
2010-04-29 17:20:00,2010,40.6054,-74.2383,REFINED LIQUIDS,0,NJ,LEAK,NO,29691.413462872926,EQUIPMENT FAILURE
2010-01-13 15:30:00,2010,46.8197,-95.1489,CRUDE OIL,0,MN,OVERFILL OR OVERFLOW,NO,83864.69090909093,INCORRECT OPERATION
2010-05-27 03:50:00,2010,30.19071,-91.18293,FLAMMABLE GASES,42,LA,LEAK,NO,6565.390700902166,EQUIPMENT FAILURE
2010-05-29 14:00:00,2010,29.706473,-95.2338293,CRUDE OIL,84,TX,LEAK,NO,188.66065232477467,EQUIPMENT FAILURE
2010-05-16 14:50:00,2010,29.34921,-94.93901,CRUDE OIL,546,TX,OTHER,NO,244738.14462179077,EQUIPMENT FAILURE
2010-05-04 22:10:00,2010,33.735001000000004,-118.27167,CRUDE OIL,84,CA,LEAK,NO,23110.929909784776,EQUIPMENT FAILURE
2010-05-07 13:00:00,2010,36.253344,-115.04531100000001,REFINED LIQUIDS,210,NV,LEAK,NO,49703.27772380284,CORROSION FAILURE
2010-01-12 10:25:00,2010,35.937490000000004,-96.74417,CRUDE OIL,882,OK,LEAK,NO,25573.58029146438,CORROSION FAILURE
2010-05-27 13:40:00,2010,38.72582,-99.73018,CRUDE OIL,42,KS,MECHANICAL PUNCTURE,NO,5993.120055517015,EXCAVATION DAMAGE
2010-05-12 10:10:00,2010,32.470420000000004,-102.46394000000001,CARBON DIOXIDE,0,TX,LEAK,NO,1035.1181124219297,EQUIPMENT FAILURE
2010-05-16 02:30:00,2010,30.0119001,-90.85080009999999,CRUDE OIL,5250,LA,OTHER,NO,2363712.962387235,NATURAL FORCE DAMAGE
2010-05-27 15:00:00,2010,29.718767,-95.17955400000001,REFINED LIQUIDS,0,TX,LEAK,NO,6288.688410825808,EQUIPMENT FAILURE
2010-05-16 06:45:00,2010,33.07358,-98.58654,CRUDE OIL,126,TX,LEAK,NO,29651.165857043667,EQUIPMENT FAILURE
2010-05-16 00:00:00,2010,31.42962,-102.38066500000001,CRUDE OIL,378,TX,OTHER,NO,14306.766134628748,EQUIPMENT FAILURE
2010-06-11 07:00:00,2010,42.20753,-104.51014,CRUDE OIL,0,WY,LEAK,NO,9433.032616238735,CORROSION FAILURE
2010-05-20 15:50:00,2010,40.61428,-74.21755,REFINED LIQUIDS,42,NJ,LEAK,YES,383855.251908398,CORROSION FAILURE
2010-06-07 08:00:00,2010,48.720364000000004,-101.20851,CRUDE OIL,42,ND,LEAK,NO,12665.418459403198,MATERIAL FAILURE OF PIPE OR WELD
2010-05-27 08:00:00,2010,39.12851,-94.60705,REFINED LIQUIDS,420,KS,LEAK,NO,14715.53088133242,EQUIPMENT FAILURE
2010-05-31 10:00:00,2010,34.918009999999995,-81.87401,REFINED LIQUIDS,42,SC,LEAK,NO,27743.177793199116,CORROSION FAILURE
2010-05-20 10:30:00,2010,32.561840000000004,-98.350678,FLAMMABLE GASES,168,TX,LEAK,NO,88041.63775156144,CORROSION FAILURE
2010-05-21 13:45:00,2010,44.623509999999996,-97.92161,CRUDE OIL,0,SD,LEAK,NO,260990.63095072858,EQUIPMENT FAILURE
2010-05-23 06:30:00,2010,32.53091,-100.83715,CRUDE OIL,168,TX,LEAK,NO,12533.35600277586,CORROSION FAILURE
2010-05-24 09:15:00,2010,29.71831,-95.18038,REFINED LIQUIDS,168,TX,LEAK,NO,32072.31089521163,EQUIPMENT FAILURE
2010-06-01 12:45:00,2010,29.88878,-94.84975,FLAMMABLE GASES,42,TX,MECHANICAL PUNCTURE,NO,188.66065232477467,EXCAVATION DAMAGE
2010-06-08 15:50:00,2010,30.239546999999998,-93.27771700000001,REFINED LIQUIDS,126,LA,LEAK,YES,95926.39528105478,MATERIAL FAILURE OF PIPE OR WELD
2010-05-25 11:00:00,2010,63.93074,-145.76661000000001,CRUDE OIL,108360,AK,OVERFILL OR OVERFLOW,NO,36396413.046495534,INCORRECT OPERATION
2010-05-26 19:30:00,2010,39.800348,-104.94916200000002,REFINED LIQUIDS,168,CO,LEAK,NO,6371.69909784872,EQUIPMENT FAILURE
2010-06-16 09:00:00,2010,29.956870000000002,-90.71667,FLAMMABLE GASES,0,LA,LEAK,NO,0.0,OTHER INCIDENT CAUSE
2010-05-27 12:45:00,2010,32.06839,-96.4708,CRUDE OIL,0,TX,LEAK,NO,11947.250242886897,CORROSION FAILURE
2010-06-05 10:30:00,2010,28.85030001,-97.00220001,REFINED LIQUIDS,84,TX,LEAK,NO,189614.01748785566,MATERIAL FAILURE OF PIPE OR WELD
2010-06-09 22:47:00,2010,29.74697,-95.12399,CRUDE OIL,126,TX,LEAK,NO,20795.43483691882,EQUIPMENT FAILURE
2010-05-29 12:34:00,2010,41.844019,-85.74113100000001,REFINED LIQUIDS,89082,MI,RUPTURE,NO,2471763.94892436,MATERIAL FAILURE OF PIPE OR WELD
2010-05-29 17:15:00,2010,35.93019,-96.74132,CRUDE OIL,3570,OK,OTHER,YES,89299.37543372663,EQUIPMENT FAILURE
2010-06-03 20:21:00,2010,35.55441,-97.10413,FLAMMABLE GASES,462,OK,LEAK,NO,2331.8456627342057,EQUIPMENT FAILURE
2010-06-03 19:13:00,2010,31.98743,-102.63968,FLAMMABLE GASES,193956,TX,RUPTURE,NO,382681.78265093704,CORROSION FAILURE
2010-05-19 10:00:00,2010,32.48191,-94.83511,CRUDE OIL,42,TX,OVERFILL OR OVERFLOW,NO,8638.142401110343,EQUIPMENT FAILURE
2010-06-08 10:13:00,2010,30.0124001,-90.40190009999999,FLAMMABLE GASES,420,LA,LEAK,NO,986.0663428174887,EQUIPMENT FAILURE
2010-06-23 12:08:00,2010,30.124278000000004,-90.768367,REFINED LIQUIDS,0,LA,LEAK,NO,99399.00902151279,EQUIPMENT FAILURE
2010-06-09 08:00:00,2010,33.59667,-81.95333000000001,REFINED LIQUIDS,420,SC,LEAK,YES,33814.27758501054,EQUIPMENT FAILURE
2010-06-04 11:25:00,2010,45.672992,-94.593917,CRUDE OIL,42,MN,LEAK,NO,17282.57349063153,EQUIPMENT FAILURE
2010-06-01 10:00:00,2010,35.467203000000005,-119.70399099999999,CRUDE OIL,21336,CA,LEAK,NO,188660.65232477468,CORROSION FAILURE
2010-06-08 15:45:00,2010,44.67167,-90.24833000000001,CRUDE OIL,42,WI,LEAK,YES,415053.4351145048,MATERIAL FAILURE OF PIPE OR WELD
2010-06-07 12:50:00,2010,39.506925,-88.06549100000001,REFINED LIQUIDS,0,IL,LEAK,YES,361051.2099930615,MATERIAL FAILURE OF PIPE OR WELD
2010-06-23 12:09:00,2010,40.706418,-84.113285,CRUDE OIL,168,OH,MECHANICAL PUNCTURE,NO,53827.3995836226,EQUIPMENT FAILURE
2010-06-10 04:30:00,2010,31.65608,-94.84362,CRUDE OIL,0,TX,LEAK,NO,3189.6227619708557,EQUIPMENT FAILURE
2010-06-12 12:34:00,2010,35.94595,-96.75007,CRUDE OIL,252,OK,LEAK,NO,12803.769604441375,EQUIPMENT FAILURE
2010-06-12 07:42:00,2010,40.76505,-111.82493000000001,CRUDE OIL,33600,UT,OTHER,YES,40541589.435114555,OTHER OUTSIDE FORCE DAMAGE
2010-06-14 13:34:00,2010,41.123379,-104.783855,CRUDE OIL,1260,WY,OVERFILL OR OVERFLOW,NO,57069.8473282444,INCORRECT OPERATION
2010-06-16 11:35:00,2010,30.94037,-94.40321999999999,CRUDE OIL,0,TX,LEAK,NO,6302.523525329641,EQUIPMENT FAILURE
2010-04-16 09:35:00,2010,28.279502,-97.29544,CRUDE OIL,0,TX,OVERFILL OR OVERFLOW,NO,3155.663844552392,EQUIPMENT FAILURE
2010-01-11 14:30:00,2010,30.259890000000002,-93.20991,FLAMMABLE GASES,93954,LA,LEAK,NO,208272.55600277585,NATURAL FORCE DAMAGE
2010-07-02 14:00:00,2010,28.711239000000003,-89.43768100000001,CRUDE OIL,0,,LEAK,YES,1304198.512144344,EQUIPMENT FAILURE
2010-07-14 13:40:00,2010,38.828047,-90.085713,CRUDE OIL,0,IL,LEAK,NO,32648.354753643227,INCORRECT OPERATION
2010-07-17 11:37:00,2010,39.68524,-87.236533,REFINED LIQUIDS,0,IN,OTHER,NO,26920.617349063126,EQUIPMENT FAILURE
2010-07-17 20:30:00,2010,40.591463,-74.219176,REFINED LIQUIDS,294,NJ,OTHER,NO,34336.238723108996,NATURAL FORCE DAMAGE
2010-06-25 09:55:00,2010,32.53275,-100.82947,CRUDE OIL,84,TX,LEAK,NO,28188.416932685734,CORROSION FAILURE
2010-07-02 10:15:00,2010,47.32444,-93.76306,CRUDE OIL,420,MN,LEAK,NO,172310.06245662735,EQUIPMENT FAILURE
2010-06-28 08:30:00,2010,40.647936,-88.34073199999999,REFINED LIQUIDS,126,IL,LEAK,NO,169794.5870922972,CORROSION FAILURE
2010-06-30 04:58:00,2010,41.31825,-95.93717,REFINED LIQUIDS,7728,NE,LEAK,YES,1015112.5368494102,CORROSION FAILURE
2010-06-30 18:45:00,2010,37.840740000000004,-98.41963,FLAMMABLE GASES,84,KS,LEAK,NO,85717.33851492018,MATERIAL FAILURE OF PIPE OR WELD
2010-07-04 12:15:00,2010,36.00943,-96.55946,CRUDE OIL,42,OK,LEAK,NO,36991.322970159614,CORROSION FAILURE
